timestamp,yhat,y_p10,y_p50,y_p90
2025-10-23 01:00:00,90.02133525758353,81.01920173182518,90.02133525758353,99.0234687833419
2025-10-23 02:00:00,141.58104126401682,127.42293713761514,141.58104126401682,155.7391453904185
2025-10-23 03:00:00,193.4103903852019,174.0693513466817,193.4103903852019,212.75142942372213
2025-10-23 04:00:00,241.97729813057913,217.7795683175212,241.97729813057913,266.1750279436371
2025-10-23 05:00:00,283.9720099979111,255.57480899811998,283.9720099979111,312.3692109977022
2025-10-23 06:00:00,316.53265577298157,284.8793901956834,316.53265577298157,348.1859213502797
2025-10-23 07:00:00,337.44028125523107,303.696253129708,337.44028125523107,371.1843093807542
2025-10-23 08:00:00,345.27006631952884,310.74305968757596,345.27006631952884,379.79707295148177
2025-10-23 09:00:00,339.48842405307477,305.5395816477673,339.48842405307477,373.4372664583823
2025-10-23 10:00:00,320.489363821712,288.4404274395408,320.489363821712,352.53830020388324
2025-10-23 11:00:00,289.5676401827765,260.61087616449885,289.5676401827765,318.52440420105415
2025-10-23 12:00:00,248.830517501697,223.9474657515273,248.830517501697,273.7135692518667
2025-10-23 13:00:00,201.05416336791097,180.9487470311199,201.05416336791097,221.15957970470208
2025-10-23 14:00:00,149.49445736147774,134.54501162532998,149.49445736147774,164.44390309762554
2025-10-23 15:00:00,97.66510824029271,87.89859741626344,97.66510824029271,107.43161906432199
2025-10-23 16:00:00,49.0982004949154,44.18838044542387,49.0982004949154,54.008020544406946
2025-10-23 17:00:00,7.103488627583431,6.393139764825088,7.103488627583431,7.813837490341775
2025-10-23 18:00:00,-25.457157147487067,-22.91144143273836,-25.457157147487067,-28.002872862235776
2025-10-23 19:00:00,-46.36478262973651,-41.72830436676286,-46.36478262973651,-51.001260892710164
2025-10-23 20:00:00,-54.19456769403436,-48.77511092463093,-54.19456769403436,-59.6140244634378
2025-10-23 21:00:00,-48.41292542758029,-43.571632884822264,-48.41292542758029,-53.254217970338324
2025-10-23 22:00:00,-29.413865196217557,-26.472478676595802,-29.413865196217557,-32.355251715839316
2025-10-23 23:00:00,1.5078584427179749,1.3570725984461773,1.5078584427179749,1.6586442869897724
2025-10-24 00:00:00,30.85056288994045,27.765506600946406,30.85056288994045,33.935619178934495
